#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Gasterosteus aculeatus	69293	PRJNA13579	13579	Animals	Fishes	446.611	44.6	GCA_000180675.1	-	AANH01	16957	-	-	2006/02/01	2014/08/11	Contig	Broad Institute	SAMN02981227
Chlamydomonas reinhardtii	3055	PRJNA12260	12260	Plants	Green Algae	120.405	61.9512	GCA_000002595.2	mitochondrion MT:NC_001638.1/U03843.1; chloroplast Pltd:NC_005353.1/BK000554.2	ABCN01	1558	14488	14488	2007/08/03	2014/08/06	Scaffold	DOE Joint Genome Institute	SAMN02953692
Drosophila yakuba	7245	PRJNA12366	12366	Animals	Insects	165.71	42.3955	GCA_000005975.1	chromosome X:NC_011091.1/CM000162.2; chromosome 2L:NT_167062.1/CM000157.2; chromosome 2R:NT_167063.1/CM000158.2; chromosome 3L:NT_167064.1/CM000159.2; chromosome 3R:NT_167065.1/CM000160.2; chromosome 4:NC_011090.1/CM000161.2; mitochondrion MT:NC_001322.1/X03240.1	AAEU02	8123	16079	23317	2004/07/07	2015/11/06	Chromosome	FlyBase	SAMN02952910
Pneumocystis carinii B80	1408658	PRJNA223511	223511	Fungi	Ascomycetes	7.66146	27.8	GCA_001477545.1	-	LFVZ01	62	3695	3646	2015/12/22	2015/12/22	Contig	Broad Institute	SAMN02380717
Schizosaccharomyces pombe	4896	PRJNA13836	13836	Fungi	Ascomycetes	12.5913	36.0381	GCA_000002945.2	chromosome I:NC_003424.3/CU329670.1; chromosome II:NC_003423.3/CU329671.1; chromosome III:NC_003421.2/CU329672.1; mitochondrion MT:NC_001326.1/X54421.1	-	4	6991	5133	2002/02/28	2015/02/27	Chromosome	S. pombe European Sequencing Consortium (EUPOM)	SAMEA3138176
Saccharomyces cerevisiae S288C	559292	PRJNA43747	43747	Fungi	Ascomycetes	12.1571	38.1556	GCA_000146045.2	chromosome I:NC_001133.9/BK006935.2; chromosome II:NC_001134.8/BK006936.2; chromosome III:NC_001135.5/BK006937.2; chromosome IV:NC_001136.10/BK006938.2; chromosome V:NC_001137.3/BK006939.2; chromosome VI:NC_001138.5/BK006940.2; chromosome VII:NC_001139.9/BK006941.2; chromosome VIII:NC_001140.6/BK006934.2; chromosome IX:NC_001141.2/BK006942.2; chromosome X:NC_001142.9/BK006943.2; chromosome XI:NC_001143.9/BK006944.2; chromosome XII:NC_001144.5/BK006945.2; chromosome XIII:NC_001145.3/BK006946.2; chromosome XIV:NC_001146.8/BK006947.3; chromosome XV:NC_001147.6/BK006948.2; chromosome XVI:NC_001148.4/BK006949.2; mitochondrion MT:NC_001224.1/KP263414.1	-	17	6445	6002	1999/11/08	2017/03/27	Complete Genome	Saccharomyces Genome Database	-
Emiliania huxleyi CCMP1516	280463	PRJNA77753	77753	Protists	Other Protists	167.676	64.5	GCA_000372725.1	-	AHAL01	7795	38549	38554	2013/04/19	2014/08/01	Scaffold	JGI	SAMN02744062
Arabidopsis thaliana	3702	PRJNA10719	10719	Plants	Land Plants	119.668	36.0528	GCA_000001735.1	chromosome 1:NC_003070.9/CP002684.1; chromosome 2:NC_003071.7/CP002685.1; chromosome 3:NC_003074.8/CP002686.1; chromosome 4:NC_003075.7/CP002687.1; chromosome 5:NC_003076.8/CP002688.1; mitochondrion MT:NC_001284.2/Y08501.2; chloroplast Pltd:NC_000932.1/AP000423.1	-	7	38158	48350	2001/08/13	2017/07/20	Chromosome	The Arabidopsis Information Resource (TAIR)	SAMN03081427
Medicago truncatula	3880	PRJNA10791	10791	Plants	Land Plants	412.924	34.047	GCA_000219495.2	chromosome 1:NC_016407.2/CM001217.2; chromosome 2:NC_016408.2/CM001218.2; chromosome 3:NC_016409.2/CM001219.2; chromosome 4:NC_016410.2/CM001220.2; chromosome 5:NC_016411.2/CM001221.2; chromosome 6:NC_016412.2/CM001222.2; chromosome 7:NC_016413.2/CM001223.2; chromosome 8:NC_016414.2/CM001224.2; chloroplast Pltd:NC_003119.6/AC093544.8	APNO01	2187	51625	57661	2011/08/12	2014/06/18	Chromosome	International Medicago Genome Annotation Group	SAMN02299339
Solanum lycopersicum	4081	PRJNA119	119	Plants	Land Plants	823.786	35.7097	GCA_000188115.2	chromosome 1:NC_015438.2/CM001064.2; chromosome 2:NC_015439.2/CM001065.2; chromosome 3:NC_015440.2/CM001066.2; chromosome 4:NC_015441.2/CM001067.2; chromosome 5:NC_015442.2/CM001068.2; chromosome 6:NC_015443.2/CM001069.2; chromosome 7:NC_015444.2/CM001070.2; chromosome 8:NC_015445.2/CM001071.2; chromosome 9:NC_015446.2/CM001072.2; chromosome 10:NC_015447.2/CM001073.2; chromosome 11:NC_015448.2/CM001074.2; chromosome 12:NC_015449.2/CM001075.2; chloroplast Pltd:NC_007898.3/DQ347959.1	AEKE02	3224	30336	36010	2010/12/10	2014/10/16	Chromosome	Solanaceae Genomics Project	SAMN02981290
Oryza sativa Japonica Group	39947	PRJNA12269	12269	Plants	Land Plants	374.423	43.5769	GCA_001433935.1	chromosome 1:NC_029256.1/AP014957.1; chromosome 2:NC_029257.1/AP014958.1; chromosome 3:NC_029258.1/AP014959.1; chromosome 4:NC_029259.1/AP014960.1; chromosome 5:NC_029260.1/AP014961.1; chromosome 6:NC_029261.1/AP014962.1; chromosome 7:NC_029262.1/AP014963.1; chromosome 8:NC_029263.1/AP014964.1; chromosome 9:NC_029264.1/AP014965.1; chromosome 10:NC_029265.1/AP014966.1; chromosome 11:NC_029266.1/AP014967.1; chromosome 12:NC_029267.1/AP014968.1; plasmid B1:NC_001751.1/D00293.1; plastid Pltd:NC_001320.1/X15901.1; mitochondrion MT:NC_011033.1/BA000029.3	-	58	33185	41070	2015/10/10	2016/03/01	Chromosome	National Institute of Agrobiological Sciences, Japan	SAMD00000397
Triticum aestivum	4565	PRJNA392179	392179	Plants	Land Plants	15344.7	46.1	GCA_002220415.2	-	NMPL02	279439	-	-	2017/07/13	2017/07/27	Contig	Johns Hopkins University	SAMN07284949
Hordeum vulgare	4513	PRJEB13020	340103	Plants	Land Plants	9788.86	-	GCA_900075435.2	-	FJWB02	72295	-	-	2016/08/25	2016/10/17	Scaffold	IBSC	SAMEA3903302
Zea mays	4577	PRJNA10769	10769	Plants	Land Plants	2135.08	46.9109	GCA_000005005.6	chromosome 1:NC_024459.2/CM007647.1; chromosome 2:NC_024460.2/CM007648.1; chromosome 3:NC_024461.2/CM007649.1; chromosome 4:NC_024462.2/CM000780.4; chromosome 5:NC_024463.2/CM000781.4; chromosome 6:NC_024464.2/CM000782.4; chromosome 7:NC_024465.2/CM007650.1; chromosome 8:NC_024466.2/CM000784.4; chromosome 9:NC_024467.2/CM000785.4; chromosome 10:NC_024468.2/CM000786.4; mitochondrion MT:NC_007982.1/AY506529.1; chloroplast Pltd:NC_001666.2/X86563.2	LPUQ01	598	47800	58291	2010/01/29	2017/03/20	Chromosome	maizesequence	SAMN04296295
Aspergillus fumigatus Af293	330879	PRJNA131	131	Fungi	Ascomycetes	29.385	49.8105	GCA_000002655.1	chromosome 1:NC_007194.1/CM000169.1; chromosome 2:NC_007195.1/CM000170.1; chromosome 3:NC_007196.1/CM000171.1; chromosome 4:NC_007197.1/CM000172.1; chromosome 5:NC_007198.1/CM000173.1; chromosome 6:NC_007199.1/CM000174.1; chromosome 7:NC_007200.1/CM000175.1; chromosome 8:NC_007201.1/CM000176.1	AAHF01	8	19832	19260	2005/06/01	2014/08/04	Chromosome	J. Craig Venter Institute	SAMN00115746
Glycine max	3847	PRJNA19861	19861	Plants	Land Plants	978.972	35.1208	GCA_000004515.3	chromosome 1:NC_016088.2/CM000834.2; chromosome 2:NC_016089.2/CM000835.2; chromosome 3:NC_016090.2/CM000836.2; chromosome 4:NC_016091.2/CM000837.2; chromosome 5:NC_016092.2/CM000838.2; chromosome 6:NC_016093.2/CM000839.2; chromosome 7:NC_016094.2/CM000840.2; chromosome 8:NC_016095.2/CM000841.2; chromosome 9:NC_016096.2/CM000842.2; chromosome 10:NC_016097.2/CM000843.2; chromosome 11:NC_016098.2/CM000844.2; chromosome 12:NC_016099.2/CM000845.2; chromosome 13:NC_016100.2/CM000846.2; chromosome 14:NC_016101.2/CM000847.2; chromosome 15:NC_016102.2/CM000848.2; chromosome 16:NC_016103.2/CM000849.2; chromosome 17:NC_016104.2/CM000850.2; chromosome 18:NC_016105.2/CM000851.2; chromosome 19:NC_016106.2/CM000852.2; chromosome 20:NC_016107.2/CM000853.2; chloroplast Pltd:NC_007942.1/DQ317523.1; mitochondrion MT:NC_020455.1/JX463295.1	ACUP02	1191	58843	71525	2010/01/05	2015/11/04	Chromosome	US DOE Joint Genome Institute (JGI-PGF)	SAMN00002965
Aspergillus nidulans FGSC A4	227321	PRJEA40559	40559	Fungi	Ascomycetes	29.8283	50.37	GCA_000011425.1	chromosome I:BN001301.1; chromosome II:BN001302.1; chromosome III:BN001303.1; chromosome IV:BN001304.1; chromosome V:BN001305.1; chromosome VI:BN001306.1; chromosome VII:BN001307.1; chromosome VIII:BN001308.1	-	8	10597	10534	2009/09/24	2015/02/27	Chromosome	Eurofungbase (Eurofung)	SAMEA2272224
Neurospora crassa OR74A	367110	PRJNA13841	13841	Fungi	Ascomycetes	41.1024	48.2319	GCA_000182925.2	chromosome II:NC_026502.1/CM002237.1; chromosome III:NC_026503.1/CM002238.1; chromosome IV:NC_026504.1/CM002239.1; chromosome V:NC_026505.1/CM002240.1; chromosome VI:NC_026506.1/CM002241.1; chromosome VII:NC_026507.1/CM002242.1; linkage group I:NC_026501.1/CM002236.1; mitochondrion MT:NC_026614.1/KC683708.1	AABX03	21	10456	10813	2003/03/12	2014/08/06	Chromosome	Broad Institute	SAMN02953583
Phanerochaete chrysosporium	5306	PRJNA343563	343563	Fungi	Basidiomycetes	39.2051	56.5	GCA_001910725.1	-	MJGA01	174	-	-	2016/12/20	2016/12/20	Contig	National Institute of Forest Science	SAMN05790961
Candida albicans SC5314	237561	PRJNA10701	10701	Fungi	Ascomycetes	14.2827	33.4827	GCA_000182965.3	chromosome 1:NC_032089.1/CP017623.1; chromosome 2:NC_032090.1/CP017624.1; chromosome 3:NC_032091.1/CP017625.1; chromosome 4:NC_032092.1/CP017626.1; chromosome 5:NC_032093.1/CP017627.1; chromosome 6:NC_032094.1/CP017628.1; chromosome 7:NC_032095.1/CP017629.1; chromosome R:NC_032096.1/CP017630.1	-	8	6263	6030	2016/10/12	2016/12/08	Chromosome	Stanford University	SAMN02953594
Trypanosoma cruzi	5693	PRJNA11755	11755	Protists	Kinetoplasts	89.9375	51.7	GCA_000209065.1	-	AAHK01	29495	23696	19607	2005/07/14	2014/08/06	Scaffold	Trypanosoma cruzi consortium	SAMN02953627
